"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 09 15:56:08 GMT 2024","Thu May 09 15:56:10 GMT 2024","1918","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testGetAllUsersEndpoint","testGetAllUsersEndpoint(List)",""
"passed","Thu May 09 15:56:08 GMT 2024","Thu May 09 15:56:10 GMT 2024","1873","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testCreateBook","testCreateBook(TestParameters)",""
"passed","Thu May 09 15:56:08 GMT 2024","Thu May 09 15:56:10 GMT 2024","1887","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testGetSingleUserEndpoint","testGetSingleUserEndpoint(UserJson)",""
"passed","Thu May 09 15:56:08 GMT 2024","Thu May 09 15:56:14 GMT 2024","6260","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testCreateBookAllLayers","testCreateBookAllLayers(TestParameters)",""
"broken","Thu May 09 15:56:08 GMT 2024","Thu May 09 15:56:24 GMT 2024","15591","","com.library.test.LibraryTest","","com.library.test.LibraryTest","explicitlyFailedTest","explicitlyFailedTest(TestParameters)",""
