"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 09 16:37:29 GMT 2024","Thu May 09 16:37:31 GMT 2024","1688","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testGetSingleUserEndpoint","testGetSingleUserEndpoint(UserJson)",""
"passed","Thu May 09 16:37:29 GMT 2024","Thu May 09 16:38:08 GMT 2024","38903","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testCreateBookAllLayers","testCreateBookAllLayers(TestParameters)",""
"passed","Thu May 09 16:37:29 GMT 2024","Thu May 09 16:37:31 GMT 2024","1686","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testCreateBook","testCreateBook(TestParameters)",""
"broken","Thu May 09 16:37:29 GMT 2024","Thu May 09 16:38:16 GMT 2024","47588","","com.library.test.LibraryTest","","com.library.test.LibraryTest","explicitlyFailedTest","explicitlyFailedTest(TestParameters)",""
"passed","Thu May 09 16:37:29 GMT 2024","Thu May 09 16:37:31 GMT 2024","1734","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testGetAllUsersEndpoint","testGetAllUsersEndpoint(List)",""
