"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 09 16:52:11 GMT 2024","Thu May 09 16:52:13 GMT 2024","1878","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testCreateBook","testCreateBook(TestParameters)",""
"passed","Thu May 09 16:52:11 GMT 2024","Thu May 09 16:52:13 GMT 2024","1921","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testGetAllUsersEndpoint","testGetAllUsersEndpoint(List)",""
"broken","Thu May 09 16:52:11 GMT 2024","Thu May 09 16:52:40 GMT 2024","29255","","com.library.test.LibraryTest","","com.library.test.LibraryTest","explicitlyFailedTest","explicitlyFailedTest(TestParameters)",""
"passed","Thu May 09 16:52:11 GMT 2024","Thu May 09 16:52:31 GMT 2024","19964","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testCreateBookAllLayers","testCreateBookAllLayers(TestParameters)",""
"passed","Thu May 09 16:52:11 GMT 2024","Thu May 09 16:52:13 GMT 2024","1882","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testGetSingleUserEndpoint","testGetSingleUserEndpoint(UserJson)",""
