"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 09 16:36:38 GMT 2024","Thu May 09 16:36:39 GMT 2024","1700","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testGetAllUsersEndpoint","testGetAllUsersEndpoint(List)",""
"passed","Thu May 09 16:36:38 GMT 2024","Thu May 09 16:37:13 GMT 2024","35507","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testCreateBookAllLayers","testCreateBookAllLayers(TestParameters)",""
"passed","Thu May 09 16:36:38 GMT 2024","Thu May 09 16:36:39 GMT 2024","1698","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testGetSingleUserEndpoint","testGetSingleUserEndpoint(UserJson)",""
"passed","Thu May 09 16:36:38 GMT 2024","Thu May 09 16:36:39 GMT 2024","1702","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testCreateBook","testCreateBook(TestParameters)",""
"broken","Thu May 09 16:36:38 GMT 2024","Thu May 09 16:37:22 GMT 2024","44139","","com.library.test.LibraryTest","","com.library.test.LibraryTest","explicitlyFailedTest","explicitlyFailedTest(TestParameters)",""
