"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 09 16:57:38 GMT 2024","Thu May 09 16:57:40 GMT 2024","1894","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testCreateBook","testCreateBook(TestParameters)",""
"broken","Thu May 09 16:57:38 GMT 2024","Thu May 09 16:57:53 GMT 2024","15098","","com.library.test.LibraryTest","","com.library.test.LibraryTest","explicitlyFailedTest","explicitlyFailedTest(TestParameters)",""
"passed","Thu May 09 16:57:38 GMT 2024","Thu May 09 16:57:41 GMT 2024","2860","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testGetAllUsersEndpoint","testGetAllUsersEndpoint(List)",""
"passed","Thu May 09 16:57:38 GMT 2024","Thu May 09 16:57:44 GMT 2024","5332","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testCreateBookAllLayers","testCreateBookAllLayers(TestParameters)",""
"passed","Thu May 09 16:57:38 GMT 2024","Thu May 09 16:57:40 GMT 2024","1864","","com.library.test.LibraryTest","","com.library.test.LibraryTest","testGetSingleUserEndpoint","testGetSingleUserEndpoint(UserJson)",""
